movie_title,actor_count,actors_list
How to Train Your Dragon,12,"Jay_Baruchel, Gerard_Butler, Christopher_Mintz-Plasse, Craig_Ferguson, America_Ferrera, Jonah_Hill, T.J._Miller, Kristen_Wiig, Robin_Atkin_Downes, Ashley_Jensen, David_Tennant, Randy_Thom"
Howl's Moving Castle,8,"Chieko_Baishô, Takuya_Kimura, Tatsuya_Gashûin, Ryûnosuke_Kamiki, Mitsunori_Isaki, Yô_Ôizumi, Akio_Ôtsuka, Haruko_Katô"
Ikiru,14,"Takashi_Shimura, Nobuo_Kaneko, Shin'ichi_Himori, Haruo_Tanaka, Minoru_Chiaki, Miki_Odagiri, Bokuzen_Hidari, Kamatari_Fujiwara, Nobuo_Nakamura, Masao_Shimizu, Yûnosuke_Itô, Kumeko_Urabe, Eiko_Miyoshi, Noriko_Honma"
In the Name of the Father,8,"Daniel_Day-Lewis, Pete_Postlethwaite, Anthony_Brophy, Emma_Thompson, Frankie_McCafferty, Stuart_Wolfenden, Jo_Connor, Jane_Nolan"
Incendies,8,"Lubna_Azabal, Mélissa_Désormeaux-Poulin, Maxim_Gaudette, Rémy_Girard, Dominique_Briand, Frédéric_Paquet, John_Dunn-Hill, Nadia_Essadiqi"
Inception,16,"Leonardo_DiCaprio, Joseph_Gordon-Levitt, Elliot_Page, Tom_Hardy, Ken_Watanabe, Dileep_Rao, Cillian_Murphy, Tom_Berenger, Marion_Cotillard, Pete_Postlethwaite, Michael_Caine, Lukas_Haas, Claire_Geare, Magnus_Nolan, Taylor_Geare, Tohoru_Masamune"
Indiana Jones and the Last Crusade,18,"Harrison_Ford, Sean_Connery, Alison_Doody, Denholm_Elliott, John_Rhys-Davies, Julian_Glover, River_Phoenix, Michael_Byrne, Kevork_Malikyan, Robert_Eddison, Richard_Young, Alexei_Sayle, Alex_Hyde-White, Paul_Maxwell, Isla_Blair, Vernon_Dobtcheff, J.J._Hardy, Bradley_Gregg"
Inglourious Basterds,18,"Brad_Pitt, Diane_Kruger, Eli_Roth, Mélanie_Laurent, Christoph_Waltz, Michael_Fassbender, Daniel_Brühl, Til_Schweiger, Gedeon_Burkhard, Jacky_Ido, B.J._Novak, Omar_Doom, August_Diehl, Denis_Ménochet, Sylvester_Groth, Martin_Wuttke, Mike_Myers, Julie_Dreyfus"
Inside Out,17,"Amy_Poehler, Bill_Hader, Lewis_Black, Phyllis_Smith, Richard_Kind, Mindy_Kaling, Diane_Lane, Kyle_MacLachlan, Paula_Poundstone, Bobby_Moynihan, Paula_Pell, Dave_Goelz, Frank_Oz, Josh_Cooley, Flea, John_Ratzenberger, Carlos_Alazraqui"
Interstellar,18,"Matthew_McConaughey, Anne_Hathaway, Jessica_Chastain, Ellen_Burstyn, Mackenzie_Foy, John_Lithgow, Timothée_Chalamet, David_Oyelowo, Collette_Wolfe, Francis_X._McCarthy, Bill_Irwin, Andrew_Borba, Wes_Bentley, William_Devane, Michael_Caine, David_Gyasi, Josh_Stewart, Casey_Affleck"
It's a Wonderful Life,15,"James_Stewart, Lionel_Barrymore, Thomas_Mitchell, Henry_Travers, Beulah_Bondi, Frank_Faylen, Ward_Bond, Gloria_Grahame, H.B._Warner, Frank_Albertson, Todd_Karns, Samuel_S._Hinds, Mary_Treen, Virginia_Patton, Sarah_Edwards"
Jai Bhim,13,"Suriya, Lijo_Mol_Jose, Manikandan_K., Rajisha_Vijayan, Prakash_Raj, Rao_Ramesh, Guru_Somasundaram, M.S._Bhaskar, V._Jayaprakash, Sibi_Thomas, Ilavarasu, Supergood_Subramani, Bala_Hasan"
Jaws,13,"Roy_Scheider, Robert_Shaw, Richard_Dreyfuss, Lorraine_Gary, Murray_Hamilton, Carl_Gottlieb, Jeffrey_Kramer, Susan_Backlinie, Ted_Grossman, Chris_Rebello, Lee_Fierro, Robert_Nevin, Peter_Benchley"
Joker,14,"Joaquin_Phoenix, Robert_De_Niro, Zazie_Beetz, Frances_Conroy, Brett_Cullen, Shea_Whigham, Bill_Camp, Glenn_Fleshler, Leigh_Gill, Josh_Pais, Marc_Maron, Murphy_Guyer, Douglas_Hodge, Sharon_Washington"
